ID,GMCODE,GMNAAM,VRCODE,VRNAAM,DATE_LAST_INSERTED
252,GM1674,Roosendaal,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
253,GM0599,Rotterdam,VR17,Rotterdam-Rijnmond,2020-08-03 10:49:31.013
254,GM0277,Rozendaal,VR07,Gelderland-Midden,2020-08-03 10:49:31.013
255,GM0840,Rucphen,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
256,GM0441,Schagen,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
257,GM0279,Scherpenzeel,VR07,Gelderland-Midden,2020-08-03 10:49:31.013
258,GM0606,Schiedam,VR17,Rotterdam-Rijnmond,2020-08-03 10:49:31.013
259,GM0088,Schiermonnikoog,VR02,Fryslân,2020-08-03 10:49:31.013
260,GM1676,Schouwen-Duiveland,VR19,Zeeland,2020-08-03 10:49:31.013
261,GM0965,Simpelveld,VR24,Limburg-Zuid,2020-08-03 10:49:31.013
262,GM1702,Sint Anthonis,VR21,Brabant-Noord,2020-08-03 10:49:31.013
263,GM0845,Sint-Michielsgestel,VR21,Brabant-Noord,2020-08-03 10:49:31.013
264,GM1883,Sittard-Geleen,VR24,Limburg-Zuid,2020-08-03 10:49:31.013
265,GM0610,Sliedrecht,VR18,Zuid-Holland-Zuid,2020-08-03 10:49:31.013
266,GM1714,Sluis,VR19,Zeeland,2020-08-03 10:49:31.013
267,GM0090,Smallingerland,VR02,Fryslân,2020-08-03 10:49:31.013
268,GM0342,Soest,VR09,Utrecht,2020-08-03 10:49:31.013
269,GM0847,Someren,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
270,GM0848,Son en Breugel,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
271,GM0037,Stadskanaal,VR01,Groningen,2020-08-03 10:49:31.013
272,GM0180,Staphorst,VR04,IJsselland,2020-08-03 10:49:31.013
273,GM0532,Stede Broec,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
274,GM0851,Steenbergen,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
275,GM1708,Steenwijkerland,VR04,IJsselland,2020-08-03 10:49:31.013
