ID,GMCODE,GMNAAM,VRCODE,VRNAAM,DATE_LAST_INSERTED
252,GM1674,Roosendaal,VR20,Midden-enWest-Brabant,2020-09-09 06:28:01.910
253,GM0599,Rotterdam,VR17,Rotterdam-Rijnmond,2020-09-09 06:28:01.910
254,GM0277,Rozendaal,VR07,Gelderland-Midden,2020-09-09 06:28:01.910
255,GM0840,Rucphen,VR20,Midden-enWest-Brabant,2020-09-09 06:28:01.910
256,GM0441,Schagen,VR10,Noord-Holland-Noord,2020-09-09 06:28:01.910
257,GM0279,Scherpenzeel,VR07,Gelderland-Midden,2020-09-09 06:28:01.910
258,GM0606,Schiedam,VR17,Rotterdam-Rijnmond,2020-09-09 06:28:01.910
259,GM0088,Schiermonnikoog,VR02,Fryslân,2020-09-09 06:28:01.910
260,GM1676,Schouwen-Duiveland,VR19,Zeeland,2020-09-09 06:28:01.910
261,GM0965,Simpelveld,VR24,Limburg-Zuid,2020-09-09 06:28:01.913
262,GM1702,Sint Anthonis,VR21,Brabant-Noord,2020-09-09 06:28:01.913
263,GM0845,Sint-Michielsgestel,VR21,Brabant-Noord,2020-09-09 06:28:01.913
264,GM1883,Sittard-Geleen,VR24,Limburg-Zuid,2020-09-09 06:28:01.913
265,GM0610,Sliedrecht,VR18,Zuid-Holland-Zuid,2020-09-09 06:28:01.913
266,GM1714,Sluis,VR19,Zeeland,2020-09-09 06:28:01.913
267,GM0090,Smallingerland,VR02,Fryslân,2020-09-09 06:28:01.913
268,GM0342,Soest,VR09,Utrecht,2020-09-09 06:28:01.913
269,GM0847,Someren,VR22,Brabant-Zuidoost,2020-09-09 06:28:01.913
270,GM0848,Son en Breugel,VR22,Brabant-Zuidoost,2020-09-09 06:28:01.913
271,GM0037,Stadskanaal,VR01,Groningen,2020-09-09 06:28:01.913
272,GM0180,Staphorst,VR04,IJsselland,2020-09-09 06:28:01.913
273,GM0532,Stede Broec,VR10,Noord-Holland-Noord,2020-09-09 06:28:01.913
274,GM0851,Steenbergen,VR20,Midden-enWest-Brabant,2020-09-09 06:28:01.913
275,GM1708,Steenwijkerland,VR04,IJsselland,2020-09-09 06:28:01.913
276,GM0971,Stein (L.),VR24,Limburg-Zuid,2020-09-09 06:28:01.913
277,GM1904,Stichtse Vecht,VR09,Utrecht,2020-09-09 06:28:01.913
278,GM1900,Súdwest-Fryslân,VR02,Fryslân,2020-09-09 06:28:01.913
279,GM0715,Terneuzen,VR19,Zeeland,2020-09-09 06:28:01.913
280,GM0093,Terschelling,VR02,Fryslân,2020-09-09 06:28:01.913
281,GM0448,Texel,VR10,Noord-Holland-Noord,2020-09-09 06:28:01.913
282,GM1525,Teylingen,VR16,Hollands-Midden,2020-09-09 06:28:01.913
283,GM0716,Tholen,VR19,Zeeland,2020-09-09 06:28:01.913
284,GM0281,Tiel,VR08,Gelderland-Zuid,2020-09-09 06:28:01.913
285,GM0855,Tilburg,VR20,Midden-enWest-Brabant,2020-09-09 06:28:01.913
286,GM0183,Tubbergen,VR05,Twente,2020-09-09 06:28:01.913
287,GM1700,Twenterand,VR05,Twente,2020-09-09 06:28:01.913
288,GM1730,Tynaarlo,VR03,Drenthe,2020-09-09 06:28:01.917
289,GM0737,Tytsjerksteradiel,VR02,Fryslân,2020-09-09 06:28:01.917
290,GM0856,Uden,VR21,Brabant-Noord,2020-09-09 06:28:01.917
291,GM0450,Uitgeest,VR12,Kennemerland,2020-09-09 06:28:01.917
292,GM0451,Uithoorn,VR13,Amsterdam-Amstelland,2020-09-09 06:28:01.917
293,GM0184,Urk,VR25,Flevoland,2020-09-09 06:28:01.917
294,GM0344,Utrecht (gemeente),VR09,Utrecht,2020-09-09 06:28:01.917
295,GM1581,Utrechtse Heuvelrug,VR09,Utrecht,2020-09-09 06:28:01.917
296,GM0981,Vaals,VR24,Limburg-Zuid,2020-09-09 06:28:01.917
297,GM0994,Valkenburg aan de Geul,VR24,Limburg-Zuid,2020-09-09 06:28:01.917
298,GM0858,Valkenswaard,VR22,Brabant-Zuidoost,2020-09-09 06:28:01.917
299,GM0047,Veendam,VR01,Groningen,2020-09-09 06:28:01.917
300,GM0345,Veenendaal,VR09,Utrecht,2020-09-09 06:28:01.917
301,GM0717,Veere,VR19,Zeeland,2020-09-09 06:28:01.917
302,GM0861,Veldhoven,VR22,Brabant-Zuidoost,2020-09-09 06:28:01.920
303,GM0453,Velsen,VR12,Kennemerland,2020-09-09 06:28:01.920
304,GM0983,Venlo,VR23,Limburg-Noord,2020-09-09 06:28:01.920
305,GM0984,Venray,VR23,Limburg-Noord,2020-09-09 06:28:01.920
306,GM1961,Vijfheerenlanden,VR09,Utrecht,2020-09-09 06:28:01.920
307,GM0622,Vlaardingen,VR17,Rotterdam-Rijnmond,2020-09-09 06:28:01.920
308,GM0096,Vlieland,VR02,Fryslân,2020-09-09 06:28:01.920
309,GM0718,Vlissingen,VR19,Zeeland,2020-09-09 06:28:01.920
310,GM0986,Voerendaal,VR24,Limburg-Zuid,2020-09-09 06:28:01.920
311,GM0626,Voorschoten,VR16,Hollands-Midden,2020-09-09 06:28:01.920
312,GM0285,Voorst,VR06,Noord-enOost-Gelderland,2020-09-09 06:28:01.920
313,GM0865,Vught,VR21,Brabant-Noord,2020-09-09 06:28:01.920
314,GM1949,Waadhoeke,VR02,Fryslân,2020-09-09 06:28:01.920
315,GM0866,Waalre,VR22,Brabant-Zuidoost,2020-09-09 06:28:01.920
316,GM0867,Waalwijk,VR20,Midden-enWest-Brabant,2020-09-09 06:28:01.920
317,GM0627,Waddinxveen,VR16,Hollands-Midden,2020-09-09 06:28:01.923
318,GM0289,Wageningen,VR07,Gelderland-Midden,2020-09-09 06:28:01.923
319,GM0629,Wassenaar,VR15,Haaglanden,2020-09-09 06:28:01.923
320,GM0852,Waterland,VR11,Zaanstreek-Waterland,2020-09-09 06:28:01.923
321,GM0988,Weert,VR23,Limburg-Noord,2020-09-09 06:28:01.923
322,GM0457,Weesp,VR14,GooienVechtstreek,2020-09-09 06:28:01.923
323,GM1960,West Betuwe,VR08,Gelderland-Zuid,2020-09-09 06:28:01.923
324,GM0668,West Maas en Waal,VR08,Gelderland-Zuid,2020-09-09 06:28:01.923
